threshold	false_positive_rate	true_positive_rate
0.01	0	0.5240213523131673
0.02	0	0.5240213523131673
0.03	0	0.5231316725978647
0.04	0	0.5222419928825622
0.05	0	0.5204626334519573
0.06	0	0.5204626334519573
0.07	0	0.5195729537366548
0.08	0	0.5195729537366548
0.09	0	0.5195729537366548
0.1	0	0.5195729537366548
0.11	0	0.5195729537366548
0.12	0	0.5195729537366548
0.13	0	0.5195729537366548
0.14	0	0.5177935943060499
0.15	0	0.5177935943060499
0.16	0	0.5177935943060499
0.17	0	0.5177935943060499
0.18	0	0.5177935943060499
0.19	0	0.5177935943060499
0.2	0	0.5177935943060499
0.21	0	0.5177935943060499
0.22	0	0.5177935943060499
0.23	0	0.5177935943060499
0.24	0	0.5177935943060499
0.25	0	0.5177935943060499
0.26	0	0.5177935943060499
0.27	0	0.5160142348754448
0.28	0	0.5160142348754448
0.29	0	0.5160142348754448
0.3	0	0.5160142348754448
0.31	0	0.5160142348754448
0.32	0	0.5160142348754448
0.33	0	0.5160142348754448
0.34	0	0.5160142348754448
0.35	0	0.5160142348754448
0.36	0	0.5160142348754448
0.37	0	0.5160142348754448
0.38	0	0.5160142348754448
0.39	0	0.5160142348754448
0.4	0	0.5160142348754448
0.41	0	0.5160142348754448
0.42	0	0.5160142348754448
0.43	0	0.5160142348754448
0.44	0	0.5160142348754448
0.45	0	0.5160142348754448
0.46	0	0.5160142348754448
0.47	0	0.5151245551601423
0.48	0	0.5151245551601423
0.49	0	0.5151245551601423
0.5	0	0.5151245551601423
0.51	0	0.5133451957295374
0.52	0	0.5133451957295374
0.53	0	0.5133451957295374
0.54	0	0.5133451957295374
0.55	0	0.5133451957295374
0.56	0	0.5133451957295374
0.57	0	0.5133451957295374
0.58	0	0.5133451957295374
0.59	0	0.5133451957295374
0.6	0	0.5133451957295374
0.61	0	0.5133451957295374
0.62	0	0.5133451957295374
0.63	0	0.5133451957295374
0.64	0	0.5133451957295374
0.65	0	0.5133451957295374
0.66	0	0.5133451957295374
0.67	0	0.5124555160142349
0.68	0	0.5124555160142349
0.69	0	0.5124555160142349
0.7	0	0.5124555160142349
0.71	0	0.5124555160142349
0.72	0	0.5124555160142349
0.73	0	0.5115658362989324
0.74	0	0.5115658362989324
0.75	0	0.5115658362989324
0.76	0	0.5115658362989324
0.77	0	0.5115658362989324
0.78	0	0.5106761565836299
0.79	0	0.5106761565836299
0.8	0	0.5106761565836299
0.81	0	0.5106761565836299
0.82	0	0.5106761565836299
0.83	0	0.5106761565836299
0.84	0	0.5106761565836299
0.85	0	0.5106761565836299
0.86	0	0.5097864768683275
0.87	0	0.5097864768683275
0.88	0	0.5088967971530249
0.89	0	0.5088967971530249
0.9	0	0.5080071174377224
0.91	0	0.5071174377224199
0.92	0	0.5071174377224199
0.93	0	0.5071174377224199
0.94	0	0.5062277580071174
0.95	0	0.5062277580071174
0.96	0	0.505338078291815
0.97	0	0.50355871886121
0.98	0	0.5026690391459074
0.99	0	0.5
